Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFEL;LE BLANC;46:37.249N;001:05.250E;aéro ouvert CAP;non;oui
;LFMQ;LE CASTELLET;43:15.199N;005:47.233E;aéro ouvert CAP;oui;oui
;LFOH;LE HAVRE OCTEVILLE;49:32.031N;000:05.283E;aéro ouvert CAP;pcl;oui
;LFOY;LE HAVRE SAINT ROMAIN;49:32.633N;000:21.583E;aéro ouvert CAP;non;non
;LFMC;LE LUC LE CANNET;43:23.082N;006:23.215E;aéro ouvert CAP;oui;non
;LFRM;LE MANS ARNAGE;47:56.916N;000:12.100E;aéro ouvert CAP;pcl;automat total 
;LFNZ;LE MAZET DE ROMANIN;43:46.132N;004:53.616E;aéro restreint;non;oui
;LFPP;LE PLESSIS BELLEVILLE;49:06.599N;002:44.283E;aéro ouvert CAP;limite;automat bp
;LFHP;LE PUY LOUDES;45:04.832N;003:45.883E;aéro ouvert CAP;pcl;automat
;LFAT;LE TOUQUET COTE D'OPALE;50:30.882N;001:37.649E;aéro ouvert CAP;pcl;automat total 
;LFQL;LENS BENIFONTAINE;50:28.032N;002:49.316E;aéro ouvert CAP;non;oui
;LFXU;LES MUREAUX;48:59.899N;001:56.566E;aéro ouvert CAP;non;oui
;LFOO;LES SABLES D'OLONNE TALMONT;46:28.617N;001:43.366W;aéro ouvert CAP;non;automat total 
;LFDU;LESPARRE SAINT LAURENT MEDOC;45:11.866N;000:52.933W;aéro ouvert CAP;oui;oui
;LFOM;LESSAY;49:12.182N;001:30.400W;aéro ouvert CAP;non;automat
;LFMZ;LEZIGNAN CORBIERES;43:10.548N;002:44.016E;aéro ouvert CAP;non;oui
;LFDI;LIBOURNE ARTIGUES DE LUSSAC;44:59.098N;000:08.016W;aéro ouvert CAP;pcl;oui
;LFQQ;LILLE LESQUIN;50:33.801N;003:05.216E;aéro ouvert CAP;oui;oui
;LFQO;LILLE MARCQ EN BAROEUL;50:41.281N;003:04.600E;aéro ouvert CAP;non;automat total 
;LFBL;LIMOGES BELLEGARDE;45:51.651N;001:10.816E;aéro ouvert CAP;oui;oui
;LFPL;LOGNES EMERAINVILLE;48:49.383N;002:37.433E;aéro ouvert CAP;non;oui
;LFGS;LONGUYON VILLETTE;49:29.065N;005:34.366E;aéro ouvert CAP;non;non
;LFGL;LONS LE SAUNIER COURLAOUX;46:40.567N;005:28.266E;aéro ouvert CAP;non;oui
;LFRH;LORIENT LANN BIHOUE;47:45.633N;003:26.399W;aéro militaire ouvert CAP;oui;non
;LFDL;LOUDUN;47:02.231N;000:06.083E;aéro ouvert CAP;non;automat total 
;LFQC;LUNEVILLE CROISMARE;48:35.683N;006:32.600E;aéro ouvert CAP;non;oui
;LFJU;LURCY LEVIS;46:42.767N;002:56.766E;aéro restreint;non;non
;LFKL;LYON BRINDAS;45:42.699N;004:41.866E;aéro restreint;non;oui
;LFLY;LYON BRON;45:43.765N;004:56.333E;aéro ouvert CAP;pcl;oui
;LFHJ;LYON CORBAS;45:39.251N;004:54.816E;aéro restreint;non;non
;LFLL;LYON SAINT EXUPERY;45:43.531N;005:04.866E;aéro ouvert CAP;oui;non
;LFLM;MACON CHARNAY;46:17.750N;004:47.750E;aéro ouvert CAP;non;oui
;LFFC;MANTES CHERENCE;49:04.732N;001:41.383E;aéro restreint;non;non
;LFDM;MARMANDE VIRAZEIL;44:30.066N;000:11.850E;aéro ouvert CAP;pcl;automat total 
;LFML;MARSEILLE PROVENCE;43:26.200N;005:12.899E;aéro ouvert CAP;oui;oui
;LFQJ;MAUBEUGE ELESMES;50:18.551N;004:01.883E;aéro ouvert CAP;non;automat
;LFJB;MAULEON;46:54.232N;000:41.783W;aéro ouvert CAP;oui;non
;LFPE;MEAUX ESBLY;48:55.667N;002:50.116E;aéro ouvert CAP;non;oui
;LFHM;MEGEVE;45:49.248N;006:39.132E;Altiport;non;oui
;LFPM;MELUN VILLAROCHE;48:36.316N;002:40.249E;aéro ouvert CAP;pcl;automat total 
;LFNB;MENDE BRENOUX;44:30.249N;003:31.650E;aéro ouvert CAP;non;automat total 
;LFKX;MERIBEL ROBERT MERLOZ;45:24.417N;006:34.832E;Altiport;non;non
;LFQT;MERVILLE CALONNE;50:37.001N;002:38.400E;aéro ouvert CAP;pcl;oui
;LFJL;METZ NANCY LORRAINE;48:58.699N;006:14.800E;aéro ouvert CAP;oui;oui
;LFCM;MILLAU LARZAC;43:59.350N;003:10.999E;aéro ouvert CAP;non;automat total 
;LFCZ;MIMIZAN;44:08.818N;001:09.800W;aéro ouvert CAP;oui;oui
;LFNC;MONT DAUPHIN SAINT CREPIN;44:42.099N;006:36.018E;aéro ouvert CAP;non;oui
;LFMG;MONTAGNE NOIRE;43:24.450N;001:59.416E;aéro restreint;non;non
;LFFW;MONTAIGU SAINT GEORGES;46:55.982N;001:19.533W;aéro ouvert CAP;non;non
;LFEM;MONTARGIS VIMORY;47:57.634N;002:41.149E;aéro ouvert CAP;non;automat total 
;LFDB;MONTAUBAN;44:01.650N;001:22.700E;aéro ouvert CAP;non;non
;LFSM;MONTBELIARD COURCELLES;47:29.201N;006:47.483E;aéro ouvert CAP;pcl;automat
;LFGM;MONTCEAU LES MINES POUILLOUX;46:36.249N;004:20.033E;aéro ouvert CAP;limite;automat total 
;LFAR;MONTDIDIER;49:40.382N;002:34.149E;aéro restreint;non;non
;LFLQ;MONTELIMAR ANCONE;44:35.017N;004:44.433E;aéro ouvert CAP;non;oui
;LFDC;MONTENDRE MARCILLAC;45:16.466N;000:27.133W;aéro ouvert CAP;non;non
;LFLT;MONTLUCON DOMERAT;46:21.216N;002:34.333E;aéro restreint;non;non
;LFBK;MONTLUCON GUERET;46:13.567N;002:21.766E;aéro ouvert CAP;pcl;automat total 
;LFNG;MONTPELLIER CANDILLARGUES;43:36.616N;004:04.216E;aéro ouvert CAP;non;oui
;LFMT;MONTPELLIER MEDITERRANEE;43:35.001N;003:57.683E;aéro ouvert CAP;oui;automat total 
;LFHI;MORESTEL;45:41.266N;005:27.216E;aéro ouvert CAP;non;oui
;LFPU;MORET EPISY;48:20.516N;002:47.966E;aéro ouvert CAP;non;oui
;LFRU;MORLAIX PLOUJEAN;48:36.051N;003:49.000W;aéro ouvert CAP;oui;automat total 
;LFAX;MORTAGNE AU PERCHE;48:32.417N;000:32.033E;aéro ouvert CAP;non;non
;LFHY;MOULINS MONTBEUGNY;46:32.065N;003:25.300E;aéro ouvert CAP;pcl;automat total 
;LFGB;MULHOUSE HABSHEIM;47:44.282N;007:25.934E;aéro ouvert CAP;non;oui
;LFBR;MURET LHERM;43:26.949N;001:15.816E;aéro ouvert CAP;pcl;oui
;LFEX;NANCY AZELOT;48:35.566N;006:14.466E;aéro restreint;non;non
;LFSN;NANCY ESSEY;48:41.534N;006:13.566E;aéro ouvert CAP;oui;automat total 
;LFEZ;NANCY MALZEVILLE;48:43.466N;006:12.466E;aéro restreint;non;non
;LFAI;NANGIS LES LOGES;48:35.748N;003:00.849E;aéro ouvert CAP;limite;oui
;LFRS;NANTES ATLANTIQUE;47:09.416N;001:36.466W;aéro ouvert CAP;oui;oui
;LFNN;NARBONNE;43:11.648N;003:03.099E;aéro ouvert CAP;non;non
;LFFT;NEUFCHATEAU;48:21.698N;005:43.216E;aéro ouvert CAP;non;non
;LFQG;NEVERS FOURCHAMBAULT;47:00.217N;003:06.650E;aéro ouvert CAP;pcl;automat bp
;LFMN;NICE COTE D'AZUR;43:39.917N;007:12.901E;aéro ouvert CAP;oui;non
;LFME;NIMES COURBESSAC;43:51.234N;004:24.816E;aéro ouvert CAP;non;oui
;LFTW;NIMES GARONS;43:45.448N;004:24.983E;aéro ouvert CAP;pcl;oui
;LFBN;NIORT MARAIS POITEVIN;46:18.799N;000:23.666W;aéro ouvert CAP;oui;automat total 
;LFCN;NOGARO;43:46.184N;000:01.966W;aéro ouvert CAP;non;oui
;LFGZ;NUITS SAINT GEORGES;47:08.584N;004:58.149E;aéro restreint;non;oui
;LFCO;OLORON HERRERE;43:09.884N;000:33.616W;aéro ouvert CAP;non;oui
;LFOJ;ORLEANS BRICY;47:59.267N;001:45.633E;aéro réservé administration;oui;non
